00 プカプッカー
EB パレットアニメーション(PalAnime[03]=91)
EC パレット切り替え(Pal[00]=(30 23 03))
ED パレット切り替え(Pal[01]=(30 23 03))
EE パレット切り替え(Pal[00]=(30 23 03))
EF BGバンク切り替え(88 8A)
F0 未定義
F1 未定義
F2 未定義
F3 未定義
F4 未定義
F5 未定義
F6 未定義
F7 未定義
F8 未定義
F9 未定義
FA 未定義
FB 未定義
FC 未定義
FD 未定義
FE 未定義
FF 未定義
